TIME,SCORE,EMOTION
08:01:,1,sad
08:02:,1,neutral
08:02:,5,neutral
08:02:,1,neutral
08:03:,1,neutral
08:04:,23,anger
08:04:,1,anger
08:06:,2,happy
08:06:,22,sad
08:06:,1,neutral
08:12:,-2,sad
08:12:,0,neutral
08:15:,3,neutral
08:15:,10,neutral
08:16:,3,sad
08:21:,3,neutral
08:22:,7,neutral
08:24:,4,neutral
08:24:,5,sad
08:25:,1,happy
08:26:,2,neutral
08:26:,1,hate
08:27:,2,sad
08:29:,3,neutral
08:30:,1,neutral
08:30:,4,anger
08:31:,-1,neutral
08:33:,1,neutral
08:33:,7,neutral
08:36:,1,happy
08:37:,7,neutral
08:39:,1,sad
08:39:,2,neutral
08:40:,4,neutral
08:40:,8,happy
08:43:,2,sad
08:44:,16,neutral
08:46:,1,neutral
08:49:,17,hate
08:50:,3,sad
08:51:,2,happy
08:51:,0,neutral
08:57:,1,happy
08:57:,15,neutral
08:58:,1,neutral
09:00:,6,sad
09:00:,152,sad
09:01:,4,sad
09:02:,2,sad
09:02:,1,neutral
09:03:,1,hate
09:03:,147,sad
09:04:,4,anger
09:05:,1,neutral
09:05:,1,happy
09:08:,7,neutral
09:08:,5,sad
09:09:,-1,sad
09:11:,3,happy
09:11:,0,neutral
09:12:,101,neutral
09:13:,5,neutral
09:13:,5,sad
09:16:,1,neutral
09:17:,13,happy
09:18:,3,neutral
09:18:,36,sad
09:19:,1,neutral
09:19:,-2,happy
09:19:,1,neutral
09:19:,-3,neutral
09:20:,1,neutral
09:20:,67,neutral
09:24:,1,neutral
09:24:,-1,neutral
09:28:,0,neutral
09:29:,2,neutral
09:29:,2,neutral
09:30:,19,anger
09:31:,1,sad
09:32:,2,neutral
09:32:,2,neutral
09:32:,-1,neutral
09:34:,1,neutral
09:35:,2,sad
09:38:,3,neutral
09:39:,1,neutral
09:39:,6,happy
09:39:,3,neutral
09:40:,12,neutral
09:40:,7,sad
09:41:,1,hate
09:43:,3,sad
09:45:,2,sad
09:45:,1,neutral
09:45:,1,neutral
09:46:,0,sad
09:47:,78,neutral
09:47:,1,neutral
09:49:,0,neutral
09:49:,1,neutral
09:50:,1,neutral
09:51:,2,happy
09:51:,1,sad
09:52:,1,neutral
09:56:,2,sad
09:56:,1,sad
09:57:,1,sad
09:57:,1,neutral
09:58:,1,neutral
09:58:,14,neutral
09:58:,1,sad
09:58:,0,neutral
10:00:,2,neutral
10:01:,10,anger
10:02:,1,neutral
10:04:,2,sad
10:09:,1,neutral
10:10:,2,happy
10:11:,3,happy
10:11:,1,happy
10:12:,1,sad
10:13:,0,sad
10:17:,1,neutral
10:17:,5,neutral
10:18:,1,neutral
10:19:,0,neutral
10:19:,1,sad
10:22:,1,neutral
10:22:,196,sad
10:22:,4,neutral
10:22:,1,happy
10:23:,31,sad
10:23:,0,neutral
10:25:,1,neutral
10:26:,0,sad
10:27:,2,sad
10:28:,1,sad
10:28:,3,neutral
10:28:,1,neutral
10:28:,-1,sad
10:29:,2,sad
10:30:,1,neutral
10:31:,58,neutral
10:31:,2,happy
10:33:,1,neutral
10:33:,1,happy
10:35:,13,neutral
10:36:,0,neutral
10:37:,1,neutral
10:38:,3,sad
10:38:,3,happy
10:39:,5,neutral
10:40:,2,neutral
10:41:,2,neutral
10:41:,2,neutral
10:43:,9,happy
10:43:,1,sad
10:45:,98,sad
10:45:,1,neutral
10:45:,2,sad
10:46:,2,sad
10:47:,1,neutral
10:47:,1,neutral
10:48:,12,happy
10:49:,1,sad
10:50:,5,sad
10:50:,2,sad
10:51:,2,neutral
10:53:,4,sad
10:53:,3,neutral
10:53:,2,neutral
10:54:,-3,sad
10:54:,1,neutral
10:54:,5,happy
10:54:,1,sad
10:55:,0,neutral
10:55:,0,neutral
10:56:,1,sad
10:57:,40,sad
10:57:,1,anger
10:57:,1,sad
11:00:,1,sad
11:01:,1,happy
11:02:,3,neutral
11:05:,1,neutral
11:06:,1,neutral
11:06:,-1,sad
11:06:,3,sad
11:07:,9,neutral
11:09:,3,neutral
11:09:,10,sad
11:10:,8,happy
11:10:,2,happy
11:10:,0,neutral
11:11:,6,neutral
11:11:,9,neutral
11:11:,2,sad
11:12:,8,sad
11:13:,2,sad
11:13:,18,happy
11:13:,1,neutral
11:13:,18,happy
11:15:,8,neutral
11:16:,2,neutral
11:17:,1,neutral
11:25:,2,neutral
11:25:,2,happy
11:25:,1,happy
11:26:,1,sad
11:26:,6,happy
11:27:,1,happy
11:28:,2,neutral
11:29:,2,neutral
11:31:,1,neutral
11:31:,2,neutral
11:33:,15,happy
11:35:,34,sad
11:35:,1,neutral
