,sad,neutral,anger,happy,hate
00:00:,113,1586,41,253,70
00:01:,188,1035,20,321,24
00:02:,680,594,1,472,210
00:03:,439,1313,-1,94,44
00:04:,473,949,-22,383,27
00:05:,282,761,1,138,268
00:06:,281,357,2,91,245
00:07:,1659,384,83,383,2
00:08:,393,1062,56,283,58
00:09:,344,565,34,258,89
00:10:,874,389,0,217,15
00:11:,285,579,7,470,28
00:12:,407,432,2,100,141
00:13:,255,579,5,661,897
00:14:,187,649,-1,300,99
00:15:,105,478,10,40,53
00:16:,364,613,5,487,55
00:17:,419,522,4,2615,124
00:18:,732,626,4,145,5
00:19:,526,766,2,507,38
00:20:,293,526,10,133,7
00:21:,212,869,7,153,74
00:22:,225,318,14,1388,62
00:23:,451,267,14,175,43
00:24:,456,635,332,284,16
00:25:,462,898,4,126,18
00:26:,210,810,27,48,9
00:27:,417,742,1,610,753
00:28:,211,437,34,56,-16
00:29:,327,398,17,423,10
00:30:,461,552,53,225,36
00:31:,862,546,4,756,1166
00:32:,530,947,23,116,14
00:33:,187,1640,9,205,44
00:34:,286,214,22,289,59
00:35:,186,715,19,1279,320
00:36:,127,1365,7,257,12
00:37:,995,230,1,135,64
00:38:,1209,2264,17,260,36
00:39:,289,970,100,215,5
00:40:,396,260,5,322,68
00:41:,353,748,3,170,12
00:42:,200,596,6,163,11
00:43:,625,602,1,101,15
00:44:,210,427,63,257,19
00:45:,573,1440,11,598,96
00:46:,244,468,5,76,197
00:47:,1097,927,45,325,14
00:48:,504,971,2,322,2
00:49:,657,988,-6,650,12
00:50:,185,662,5,111,8
00:51:,1192,617,3,188,43
00:52:,879,1088,10,622,36
00:53:,412,1152,13,118,44
00:54:,81,794,4,369,303
00:55:,191,754,92,93,89
00:56:,158,681,35,144,166
00:57:,1463,362,14,162,118
00:58:,173,1270,0,137,291
00:59:,262,405,14,287,438
01:00:,473,614,55,74,147
01:01:,966,1944,119,338,79
01:02:,720,917,16,761,46
01:03:,484,828,1,298,44
01:04:,246,3495,33,493,-17
01:05:,259,1173,0,224,-1
01:06:,536,1185,35,389,26
01:07:,200,1066,1,466,4
01:08:,699,1064,1,532,315
01:09:,198,182,12,717,47
01:10:,1322,842,4,295,208
01:11:,144,1039,31,144,-3
01:12:,788,356,0,376,59
01:13:,785,472,8,562,209
01:14:,1035,1157,0,436,113
01:15:,399,2375,19,415,55
01:16:,1218,1156,15,248,24
01:17:,206,379,5,244,129
01:18:,958,419,5,217,37
01:19:,242,2517,0,238,250
01:20:,230,819,17,150,234
01:21:,245,1460,2,687,255
01:22:,1022,1493,7,139,216
01:23:,359,483,13,150,16
01:24:,431,909,1,351,47
01:25:,467,585,35,270,24
01:26:,287,1176,37,43,57
01:27:,796,584,21,4031,66
01:28:,328,821,70,890,11
01:29:,299,614,7,128,52
01:30:,237,505,4,479,120
01:31:,298,552,3,174,8
01:32:,1065,876,7,437,56
01:33:,324,1452,2,153,94
01:34:,421,419,0,122,283
01:35:,112,700,349,200,66
01:36:,364,260,116,621,262
01:37:,556,1719,151,471,19
01:38:,22,907,42,92,101
01:39:,471,1102,6,383,16
01:40:,255,1399,2,273,554
01:41:,1051,1118,103,38,26
01:42:,258,631,7,132,14
01:43:,61,499,59,222,69
01:44:,1041,528,33,799,12
01:45:,265,394,59,391,636
01:46:,214,376,12,53,315
01:47:,519,1192,1,1950,18
01:48:,661,220,3,223,12
01:49:,361,733,557,756,87
01:50:,162,661,18,64,233
01:51:,251,353,54,799,2
01:52:,443,1359,33,78,93
01:53:,177,259,54,289,527
01:54:,267,721,2,207,81
01:55:,456,1749,9,56,214
01:56:,606,1403,2,235,-7
01:57:,270,287,-9,227,68
01:58:,452,583,0,156,187
01:59:,157,475,400,614,9
02:00:,1147,599,20,161,-2
02:01:,425,641,5,166,2
02:02:,1309,677,63,3561,41
02:03:,1715,761,1,185,82
02:04:,1201,6034,10,328,3235
02:05:,3800,919,50,4287,141
02:06:,1143,1334,9,3077,120
02:07:,609,470,1,3178,934
02:08:,1057,558,35,932,14
02:09:,10330,2269,20,273,15
02:10:,1224,582,5,144,25
02:11:,369,2520,-30,470,43
02:12:,1178,1110,38,1012,6
02:13:,8708,1114,7,3292,149
02:14:,834,978,144,1188,21
02:15:,340,4765,40,437,819
02:16:,209,1321,10,526,28
02:17:,1090,667,30,297,-41
02:18:,940,1790,76,279,39
02:19:,2295,922,62,832,0
02:20:,1093,1381,0,929,-1
02:21:,297,688,10,509,228
02:22:,1283,1328,2,432,76
02:23:,1689,645,15,1092,18
02:24:,870,1655,2,2834,82
02:25:,318,2660,-5,678,20
02:26:,262,1238,-13,358,-12
02:27:,1370,1024,5,462,526
02:28:,691,1196,38,873,87
02:29:,448,2646,13,223,3
02:30:,705,1053,3,285,17
02:31:,889,809,14,143,262
02:32:,1262,1315,22,296,18
02:33:,1099,531,1,68,234
02:34:,205,557,4,267,-2
02:35:,1061,1190,11,469,279
02:36:,501,583,1,74,36
02:37:,409,554,20,418,7
02:38:,776,859,3,267,30
02:39:,756,592,59,968,69
02:40:,387,857,73,917,116
02:41:,300,331,7,272,-4
02:42:,310,540,0,773,13
02:43:,133,459,1,53,74
02:44:,1472,821,-2,508,116
02:45:,343,631,2,518,121
02:46:,474,918,29,319,31
02:47:,555,548,0,332,29
02:48:,255,1171,20,137,159
02:49:,1617,914,38,238,78
02:50:,441,823,0,266,31
02:51:,1934,1350,47,547,231
02:52:,566,961,44,1412,279
02:53:,310,1222,7,485,72
02:54:,341,803,14,368,1243
02:55:,751,814,12,827,14
02:56:,486,936,-2,115,26
02:57:,555,728,3,148,91
02:58:,1060,819,15,68,106
02:59:,1314,847,4,289,169
03:00:,1660,1937,85,225,64
03:01:,1676,1302,6,257,38
03:02:,584,841,1,235,65
03:03:,1010,904,0,644,2
03:04:,957,1214,1,829,20
03:05:,50,1661,16,295,79
03:06:,781,746,7,389,9
03:07:,691,704,22,211,70
03:08:,115,669,9,281,47
