,sad,neutral,anger,happy,hate
00:01,"[3899, 389]","[6298, 691]","[60, 25]","[2069, 210]","[1046, 46]"
00:11,"[3364, 355]","[5358, 725]","[141, 22]","[2312, 231]","[426, 70]"
00:21,"[3802, 383]","[4640, 689]","[163, 34]","[2898, 246]","[734, 69]"
00:31,"[1805, 369]","[5037, 680]","[48, 21]","[2148, 211]","[251, 56]"
00:41,"[4335, 433]","[6636, 711]","[160, 28]","[3128, 244]","[644, 59]"
00:51,"[4004, 431]","[4902, 763]","[154, 22]","[1669, 248]","[347, 58]"
01:01,"[4852, 408]","[5145, 722]","[547, 18]","[2787, 255]","[564, 56]"
01:11,"[3940, 401]","[5261, 782]","[149, 21]","[1211, 248]","[639, 57]"
01:21,"[3167, 383]","[6679, 742]","[634, 31]","[3719, 233]","[822, 66]"
01:31,"[3667, 435]","[7366, 756]","[28, 28]","[1615, 238]","[438, 57]"
01:41,"[3413, 409]","[7998, 772]","[189, 29]","[3076, 232]","[594, 60]"
01:51,"[2458, 394]","[7179, 763]","[253, 19]","[4111, 233]","[527, 64]"
02:01,"[6653, 411]","[9167, 768]","[127, 24]","[7229, 235]","[377, 72]"
02:11,"[8096, 420]","[15363, 874]","[366, 23]","[6003, 310]","[2714, 82]"
02:21,"[4676, 424]","[11590, 836]","[866, 31]","[6394, 296]","[1700, 65]"
02:31,"[5298, 465]","[7838, 899]","[156, 32]","[2541, 303]","[544, 60]"
02:41,"[4294, 417]","[8253, 889]","[169, 24]","[5043, 285]","[435, 63]"
02:51,"[4334, 455]","[10361, 909]","[312, 28]","[2826, 304]","[383, 68]"
03:01,"[4014, 452]","[8152, 900]","[225, 23]","[4502, 272]","[548, 73]"
03:11,"[3560, 473]","[8559, 827]","[1231, 28]","[3709, 310]","[412, 74]"
03:21,"[4353, 486]","[5881, 812]","[68, 18]","[1784, 289]","[414, 69]"
03:31,"[3444, 422]","[8826, 852]","[119, 27]","[6558, 257]","[323, 65]"
03:41,"[4975, 405]","[5460, 792]","[195, 31]","[2576, 276]","[1454, 71]"
03:51,"[4995, 442]","[6647, 789]","[53, 17]","[4383, 264]","[769, 67]"
04:01,"[6197, 391]","[6655, 777]","[64, 27]","[3183, 263]","[538, 62]"
04:11,"[4522, 460]","[4230, 747]","[321, 22]","[5120, 266]","[1113, 70]"
04:21,"[5132, 406]","[9933, 752]","[93, 24]","[2940, 225]","[1933, 71]"
04:31,"[2831, 414]","[9511, 719]","[466, 22]","[2466, 234]","[443, 72]"
04:41,"[4437, 401]","[6631, 728]","[69, 28]","[1657, 230]","[2225, 71]"
04:51,"[4982, 380]","[5802, 791]","[110, 20]","[2357, 225]","[171, 58]"
05:01,"[2893, 397]","[6624, 694]","[260, 28]","[1599, 247]","[288, 55]"
05:11,"[2699, 369]","[6568, 680]","[89, 18]","[2627, 275]","[403, 51]"
05:21,"[3221, 372]","[6624, 743]","[158, 19]","[1319, 218]","[1178, 74]"
05:31,"[2198, 355]","[4239, 667]","[67, 21]","[2704, 238]","[535, 53]"
05:41,"[2702, 346]","[6029, 648]","[163, 27]","[1394, 215]","[200, 51]"
05:51,"[3712, 383]","[3853, 678]","[194, 29]","[2797, 229]","[212, 57]"
06:01,"[3262, 398]","[4255, 683]","[28, 18]","[4573, 239]","[582, 51]"
06:11,"[2078, 328]","[5074, 674]","[84, 23]","[2857, 245]","[274, 62]"
06:21,"[2312, 382]","[2670, 666]","[425, 20]","[3048, 216]","[248, 53]"
06:31,"[2729, 343]","[4101, 693]","[130, 28]","[1917, 218]","[171, 52]"
06:41,"[3820, 322]","[4493, 635]","[148, 24]","[2526, 197]","[858, 51]"
06:51,"[2208, 312]","[4097, 609]","[953, 13]","[2200, 243]","[431, 51]"
07:01,"[2551, 338]","[4447, 651]","[530, 21]","[2774, 204]","[245, 54]"
07:11,"[5291, 307]","[3949, 599]","[180, 18]","[1914, 202]","[327, 46]"
07:21,"[2280, 317]","[4909, 611]","[361, 18]","[2701, 227]","[654, 46]"
07:31,"[2623, 303]","[3943, 592]","[118, 17]","[5774, 205]","[857, 63]"
07:41,"[4493, 285]","[5106, 568]","[109, 18]","[1633, 205]","[325, 47]"
07:51,"[3398, 321]","[4051, 575]","[1067, 20]","[2267, 180]","[399, 45]"
08:01,"[1594, 256]","[3611, 537]","[154, 18]","[3977, 176]","[225, 55]"
08:11,"[2937, 286]","[3886, 544]","[64, 16]","[1178, 167]","[690, 47]"
08:21,"[2174, 267]","[3743, 464]","[285, 13]","[2103, 170]","[304, 43]"
08:31,"[1964, 284]","[2886, 468]","[32, 25]","[1869, 152]","[348, 42]"
08:41,"[3301, 247]","[3065, 539]","[66, 16]","[2296, 185]","[280, 43]"
08:51,"[1605, 265]","[3106, 466]","[38, 13]","[1609, 176]","[197, 33]"
09:01,"[1800, 255]","[4005, 493]","[89, 16]","[1814, 176]","[59, 43]"
09:11,"[6233, 246]","[3588, 542]","[43, 16]","[802, 156]","[161, 44]"
09:21,"[1454, 242]","[2918, 490]","[24, 8]","[1982, 165]","[252, 43]"
09:31,"[2196, 274]","[2866, 481]","[59, 16]","[1253, 159]","[134, 38]"
09:41,"[1482, 243]","[2623, 400]","[25, 11]","[1138, 173]","[284, 42]"
09:51,"[2767, 264]","[3338, 448]","[91, 20]","[2152, 147]","[243, 37]"
10:01,"[1927, 249]","[2678, 456]","[46, 10]","[2837, 165]","[174, 32]"
10:11,"[1989, 228]","[2716, 455]","[58, 19]","[1213, 194]","[336, 45]"
10:21,"[1583, 227]","[1984, 427]","[687, 19]","[1663, 154]","[107, 33]"
10:31,"[1982, 252]","[2894, 420]","[99, 11]","[693, 142]","[113, 32]"
10:41,"[1297, 225]","[5475, 425]","[54, 9]","[2273, 159]","[987, 37]"
10:51,"[2942, 213]","[4303, 420]","[25, 11]","[1110, 157]","[151, 36]"
11:01,"[1488, 245]","[2549, 421]","[48, 10]","[1166, 153]","[334, 33]"
11:11,"[2243, 217]","[1707, 412]","[26, 15]","[992, 132]","[298, 41]"
11:21,"[2083, 241]","[2492, 451]","[267, 16]","[1186, 158]","[132, 27]"
11:31,"[2082, 229]","[2053, 357]","[1012, 12]","[4613, 136]","[299, 32]"
11:41,"[1384, 201]","[3533, 398]","[100, 16]","[1044, 137]","[293, 37]"
11:51,"[2461, 207]","[2775, 391]","[146, 17]","[1085, 128]","[225, 27]"
12:01,"[765, 180]","[2739, 382]","[19, 7]","[1163, 129]","[374, 25]"
12:11,"[1540, 194]","[2696, 363]","[151, 15]","[1053, 132]","[51, 19]"
12:21,"[2198, 214]","[1850, 343]","[92, 12]","[1419, 136]","[91, 34]"
12:31,"[1135, 174]","[1456, 360]","[74, 12]","[724, 128]","[252, 32]"
12:41,"[778, 179]","[2029, 358]","[79, 13]","[824, 129]","[179, 24]"
12:51,"[833, 176]","[1740, 311]","[-76, 10]","[2031, 114]","[444, 43]"
13:01,"[1012, 167]","[3122, 392]","[34, 12]","[4837, 129]","[150, 29]"
13:11,"[1209, 193]","[1397, 318]","[54, 7]","[901, 123]","[203, 28]"
13:21,"[1413, 182]","[3129, 349]","[20, 14]","[1027, 113]","[197, 31]"
13:31,"[1253, 163]","[3673, 329]","[22, 11]","[1499, 108]","[39, 26]"
13:41,"[3013, 190]","[3380, 350]","[77, 13]","[1345, 134]","[211, 33]"
13:51,"[1164, 151]","[1401, 311]","[398, 9]","[579, 125]","[110, 20]"
14:01,"[1433, 197]","[2158, 334]","[17, 6]","[1252, 113]","[1771, 31]"
14:11,"[2633, 192]","[2549, 360]","[16, 8]","[1271, 113]","[110, 33]"
14:21,"[1071, 190]","[2326, 351]","[43, 10]","[938, 120]","[131, 18]"
14:31,"[882, 173]","[1922, 316]","[6, 4]","[1009, 124]","[90, 27]"
14:41,"[1007, 177]","[1794, 299]","[260, 14]","[991, 113]","[112, 16]"
14:51,"[612, 145]","[2684, 333]","[53, 11]","[1181, 119]","[329, 27]"
15:01,"[1325, 156]","[1885, 318]","[17, 10]","[1476, 105]","[162, 23]"
15:11,"[1190, 165]","[2115, 328]","[31, 8]","[562, 103]","[675, 32]"
15:21,"[1709, 167]","[1421, 298]","[116, 12]","[1323, 112]","[119, 23]"
15:31,"[887, 152]","[2326, 290]","[25, 5]","[995, 97]","[201, 26]"
15:41,"[1431, 142]","[1738, 296]","[27, 10]","[1257, 89]","[144, 28]"
15:51,"[1055, 178]","[3926, 354]","[17, 10]","[1068, 135]","[170, 21]"
16:01,"[1857, 167]","[2320, 362]","[49, 14]","[462, 98]","[379, 30]"
16:11,"[662, 174]","[1128, 318]","[38, 6]","[1956, 115]","[83, 27]"
16:21,"[1061, 154]","[1752, 328]","[157, 13]","[2215, 109]","[53, 25]"
16:31,"[884, 168]","[2823, 326]","[53, 11]","[898, 105]","[151, 23]"
16:41,"[1646, 163]","[2054, 322]","[68, 8]","[1430, 104]","[77, 28]"
16:51,"[822, 174]","[1572, 316]","[19, 8]","[1251, 126]","[216, 22]"
17:01,"[852, 163]","[3283, 306]","[14, 8]","[324, 93]","[41, 24]"
17:11,"[815, 172]","[1898, 322]","[56, 9]","[868, 107]","[410, 33]"
17:21,"[1521, 163]","[2062, 331]","[18, 12]","[1481, 122]","[240, 22]"
17:31,"[1219, 186]","[2071, 339]","[41, 13]","[1343, 117]","[95, 30]"
17:41,"[1730, 172]","[1951, 330]","[35, 10]","[1095, 134]","[152, 31]"
17:51,"[794, 166]","[2159, 337]","[39, 13]","[1254, 117]","[447, 25]"
18:01,"[1700, 170]","[1921, 317]","[26, 8]","[859, 91]","[74, 23]"
18:11,"[1537, 149]","[1962, 310]","[27, 4]","[1173, 118]","[236, 33]"
18:21,"[1537, 181]","[2134, 310]","[20, 7]","[754, 112]","[203, 30]"
18:31,"[1573, 195]","[3016, 314]","[40, 15]","[534, 93]","[155, 31]"
18:41,"[1050, 165]","[2208, 353]","[63, 16]","[1058, 113]","[409, 14]"
18:51,"[760, 163]","[2628, 330]","[10, 10]","[913, 112]","[153, 29]"
19:01,"[1336, 178]","[2095, 309]","[139, 7]","[1041, 131]","[529, 30]"
19:11,"[2089, 183]","[2861, 345]","[6, 6]","[1960, 117]","[803, 29]"
19:21,"[1690, 194]","[2385, 346]","[39, 12]","[1038, 117]","[176, 34]"
19:31,"[1319, 175]","[2320, 373]","[175, 11]","[1357, 141]","[135, 21]"
19:41,"[3569, 202]","[4513, 362]","[79, 11]","[994, 118]","[144, 32]"
19:51,"[1970, 191]","[2695, 375]","[18, 7]","[1281, 117]","[117, 35]"
20:01,"[1233, 200]","[2021, 408]","[6, 8]","[893, 128]","[326, 29]"
20:11,"[1098, 213]","[3861, 389]","[23, 16]","[1691, 119]","[238, 34]"
20:21,"[1674, 218]","[1879, 398]","[75, 9]","[1831, 142]","[517, 29]"
20:31,"[3174, 234]","[6029, 472]","[327, 14]","[1267, 141]","[236, 31]"
20:41,"[3512, 238]","[3970, 452]","[204, 16]","[2821, 169]","[572, 38]"
20:51,"[3013, 243]","[3937, 437]","[29, 10]","[1277, 157]","[347, 38]"
21:01,"[2407, 229]","[4700, 498]","[44, 18]","[1322, 153]","[60, 36]"
21:11,"[3518, 241]","[5881, 493]","[147, 21]","[1135, 171]","[980, 46]"
21:21,"[6645, 288]","[4692, 510]","[234, 25]","[2459, 169]","[89, 42]"
21:31,"[1601, 249]","[5513, 562]","[214, 14]","[1563, 197]","[206, 48]"
21:41,"[2737, 283]","[4163, 537]","[87, 25]","[2519, 177]","[224, 51]"
21:51,"[5397, 263]","[5527, 503]","[421, 15]","[2153, 187]","[203, 36]"
22:01,"[3513, 279]","[8389, 543]","[906, 17]","[1997, 202]","[478, 53]"
22:11,"[2656, 333]","[4666, 563]","[211, 21]","[1562, 228]","[1169, 50]"
22:21,"[3141, 340]","[7495, 600]","[364, 19]","[1368, 206]","[781, 47]"
22:31,"[2976, 313]","[4290, 565]","[132, 23]","[1636, 212]","[349, 56]"
22:41,"[3580, 374]","[7258, 684]","[73, 19]","[1298, 206]","[1381, 42]"
22:51,"[2665, 344]","[6792, 623]","[43, 14]","[1634, 210]","[306, 45]"
23:01,"[4314, 347]","[3933, 656]","[626, 26]","[1988, 226]","[502, 45]"
23:11,"[4975, 343]","[4311, 642]","[172, 27]","[1508, 238]","[308, 48]"
23:21,"[3230, 403]","[5095, 640]","[109, 21]","[2679, 199]","[1157, 59]"
23:31,"[3298, 372]","[4440, 639]","[28, 16]","[2331, 230]","[1039, 50]"
23:41,"[4085, 375]","[4404, 668]","[85, 26]","[1838, 212]","[266, 61]"
23:51,"[3767, 380]","[4403, 683]","[107, 14]","[2090, 226]","[1386, 63]"
